channel_id,video_id,video_title,video_url,views,timeScraped
@WFRVLocal5,9lLbzuymXy0,Three pronounced dead after two-vehicle crash in Sheboygan County,https://www.youtube.com/watch?v=9lLbzuymXy0,241,2024-12-25T00:04:54.366Z
abc15,dumzxTdUTiM,Fundraiser held to honor teen killed in Phoenix crash,https://www.youtube.com/watch?v=dumzxTdUTiM,1168,2024-12-24T23:04:23.023Z
11Alive,XKDmpxrU0wM,Christmas Eve morning traffic update in Atlanta,https://www.youtube.com/watch?v=XKDmpxrU0wM,274,2024-12-24T22:02:07.959Z
@WRAL5,utGJBg8f4s8,E. Carver Street closed after man found shot to death in crashed car in Durham,https://www.youtube.com/watch?v=utGJBg8f4s8,140,2024-12-24T20:03:07.131Z
@13ONYOURSIDE,1rqcYTgVDXo,"American Airlines 'technology issue' briefly grounds flights, causes delays at GRR",https://www.youtube.com/watch?v=1rqcYTgVDXo,44,2024-12-24T19:02:05.032Z
11Alive,uE17w8WyGOA,President Biden commutes death sentences of two Georgians to life without parole,https://www.youtube.com/watch?v=uE17w8WyGOA,952,2024-12-24T18:05:17.667Z
11Alive,SQD5AtNpT-Y,President Biden commutes death sentences of two Georgians to life without parole,https://www.youtube.com/watch?v=SQD5AtNpT-Y,717,2024-12-24T17:04:36.228Z
@WRAL5,Ip9un1nIMmE,Bad crash closes part of NC-57 in for hours in Orange County,https://www.youtube.com/watch?v=Ip9un1nIMmE,61,2024-12-24T16:04:09.657Z
@WRAL5,LlL2PVvTplw,Car crashes on I-95 in Harnett County after passenger shot twice from another moving vehicle,https://www.youtube.com/watch?v=LlL2PVvTplw,39,2024-12-24T16:04:09.657Z
@WRAL5,LGOQHmrRlD0,Deadly crash in Durham,https://www.youtube.com/watch?v=LGOQHmrRlD0,19,2024-12-24T16:04:09.657Z
@wxyztvdetroit,XceS2XIU9-M,John Keating announces intention to retire in spring after 45 years in broadcasting,https://www.youtube.com/watch?v=XceS2XIU9-M,637,2024-12-24T14:03:06.137Z
@WRAL5,MK99p4ZnTb0,BREAKING: President Biden commutes 37 federal sentences from death-row to life in prison,https://www.youtube.com/watch?v=MK99p4ZnTb0,8215,2024-12-24T12:03:22.863Z
@6abcActionNews,x-jRgmj5zns,President Biden commutes sentences of nearly all federal death row inmates,https://www.youtube.com/watch?v=x-jRgmj5zns,6287,2024-12-24T12:02:34.757Z
11Alive,bli_ibxwGPI,Atlanta rush hour | Traffic conditions,https://www.youtube.com/watch?v=bli_ibxwGPI,135,2024-12-24T11:04:51.208Z
@WRAL5,oWn88RQ3X6Y,Man found shot dead in crashed car in Durham; Police searching for suspect,https://www.youtube.com/watch?v=oWn88RQ3X6Y,503,2024-12-24T11:03:50.705Z
@ABC13Houston,NkzHFIapSXc,Family of man killed in NW Houston crash wants answers,https://www.youtube.com/watch?v=NkzHFIapSXc,1139,2024-12-24T03:02:41.581Z
@13ONYOURSIDE,hhYDAHq0bxo,Road crews working to address snowy roads in Kent Co.,https://www.youtube.com/watch?v=hhYDAHq0bxo,231,2024-12-23T23:02:53.882Z
@WPLGLocal10,toxOX7Qq8uY,Pedestrian dies after crash in Hollywood,https://www.youtube.com/watch?v=toxOX7Qq8uY,629,2024-12-23T23:02:39.943Z
11Alive,9fyS0jF8TiM,Thieves crash into jewelry store in Canada,https://www.youtube.com/watch?v=9fyS0jF8TiM,1244,2024-12-23T22:03:07.855Z
11Alive,qbPZGOIesuU,President Biden commutes death sentences of two Georgians to life without parole,https://www.youtube.com/watch?v=qbPZGOIesuU,7453,2024-12-23T22:03:07.855Z
@6abcActionNews,b3_MPafbi34,What we know about suspect in deadly Germany Christmas market crash,https://www.youtube.com/watch?v=b3_MPafbi34,3659,2024-12-23T19:02:34.812Z
@WPLGLocal10,76iGsllL2Eg,Brazilians mourn after 38 die in bus crash,https://www.youtube.com/watch?v=76iGsllL2Eg,586,2024-12-23T17:02:59.830Z
@WRAL5,UxKCAwDrojA,18-year-old charged in stolen car crash that injures seven,https://www.youtube.com/watch?v=UxKCAwDrojA,429,2024-12-23T15:02:13.496Z
@13ONYOURSIDE,-2BI1_XYO78,"13 OYS Weather Chaser takes a live look at road conditions Thursday, Dec. 19",https://www.youtube.com/watch?v=-2BI1_XYO78,211,2024-12-23T13:00:41.784Z
@13ONYOURSIDE,KM9s3Qk3kWo,13 ON YOUR SIDE Forecast: Snow through Friday AM Leaving Slick Roads,https://www.youtube.com/watch?v=KM9s3Qk3kWo,1043,2024-12-23T12:03:56.933Z
@wxyztvdetroit,_FnVVtaq-VA,How is snow impacting the roads in metro Detroit,https://www.youtube.com/watch?v=_FnVVtaq-VA,1408,2024-12-23T12:00:57.929Z
11Alive,1SmY6wQTRC4,Child defies the odds after being injured in life-changing crash,https://www.youtube.com/watch?v=1SmY6wQTRC4,444,2024-12-23T11:02:33.949Z
11Alive,8bA0ZFtjKb0,1 detained after hit and run crash involving troopers in Buckhead,https://www.youtube.com/watch?v=8bA0ZFtjKb0,697,2024-12-23T11:02:33.949Z
11Alive,VWtg72kL44w,Major crash shuts down I-75 in Cobb County,https://www.youtube.com/watch?v=VWtg72kL44w,880,2024-12-23T11:02:33.949Z
@WFRVLocal5,E7iKRfX9YVg,"Deputies: Alcohol a factor in Waupaca County crash that killed driver, passenger airlifted",https://www.youtube.com/watch?v=E7iKRfX9YVg,132,2024-12-23T04:04:57.426Z
@ABC13Houston,EmPCbFmvwDs,"Video shows car crash into Westheimer barbershop and next-door businesses, injuring child and others",https://www.youtube.com/watch?v=EmPCbFmvwDs,9047,2024-12-22T23:05:16.307Z
@WPLGLocal10,0wZMXiBKb4I,Turnpike closes after fatal crash,https://www.youtube.com/watch?v=0wZMXiBKb4I,1903,2024-12-22T23:04:30.827Z
@WPLGLocal10,F-NSGU2zcPA,Fire rescue responds to I-75 crash at mile marker 29,https://www.youtube.com/watch?v=F-NSGU2zcPA,496,2024-12-22T23:04:30.827Z
@WPLGLocal10,d-j6RNTnGU8,Driver dies in fiery hit-and-run crash in Miami-Dade,https://www.youtube.com/watch?v=d-j6RNTnGU8,2029,2024-12-22T23:04:30.827Z
11Alive,AeX6u6aTwuo,"1 person detained after APD officer involved in Buckhead hit-and-run crash, police say",https://www.youtube.com/watch?v=AeX6u6aTwuo,1387,2024-12-22T23:03:56.342Z
@WPLGLocal10,jzgR3mcmtO8,Victims of Everglades airboat crash hire attorneys,https://www.youtube.com/watch?v=jzgR3mcmtO8,1205,2024-12-22T17:00:40.664Z
@wxyztvdetroit,oWo2l6CyuPI,Detroit road rage shooting leaves man in critical condition,https://www.youtube.com/watch?v=oWo2l6CyuPI,9400,2024-12-22T16:01:48.509Z
11Alive,S74tcmEEiOw,1 person detained after APD officer involved in Buckhead hit-and-run crash,https://www.youtube.com/watch?v=S74tcmEEiOw,1623,2024-12-22T15:04:12.745Z
@wxyztvdetroit,24CY-8_2GzQ,Slippery roads expected in light snow,https://www.youtube.com/watch?v=24CY-8_2GzQ,1170,2024-12-22T14:04:43.186Z
abc15,tUDvROaxVTs,"Plane crashes in Mesa orange grove outside Falcon Field, no injuries reported",https://www.youtube.com/watch?v=tUDvROaxVTs,1584,2024-12-22T14:00:24.615Z
